CODENAME        CATEGORY                    PACKAGE                         VERSION                FILENAME                                                 MD5                                 
bookworm        rtorrent                    rtorrent                        0.15.1                 rtorrent_0.15.1-1build1_amd64.deb                        57d643b29f822dc6fbd9870e3709b935    
bullseye        rtorrent                    rtorrent                        0.15.1                 rtorrent_0.15.1-1build1_amd64.deb                        1e556498ba1d8f50570e166df6a377d9    
jammy           rtorrent                    rtorrent                        0.15.1                 rtorrent_0.15.1-1build1_amd64.deb                        e11db835e7c68de36a0355849a448a40    

bookworm        transmission                transmission                    4.0.6                  transmission_4.0.6-1build1+allmods_amd64.deb             d11258356490b6621035ff838f70dbc0    
bullseye        transmission                transmission                    4.0.6                  transmission_4.0.6-1build1+allmods_amd64.deb             03e005929e6a699c8ce1593dcaccd293    
jammy           transmission                transmission                    4.0.6                  transmission_4.0.6-1build1+allmods_amd64.deb             36e0b2c52e64b8b046c728307de8a806    

bookworm        transmission                transmission                    2.94                   transmission_2.94-1mod1_all.deb                          576e1d7d03d64a58042fd9a849fb6134    
bullseye        transmission                transmission                    2.94                   transmission_2.94-1mod1_all.deb                          576e1d7d03d64a58042fd9a849fb6134    
jammy           transmission                transmission                    2.94                   transmission_2.94-1mod1_all.deb                          576e1d7d03d64a58042fd9a849fb6134    
bookworm        transmission                transmission                    3.00                   transmission_3.00-1mod1_all.deb                          4bbed629bd22bd76d37365a2da32c59d    
bullseye        transmission                transmission                    3.00                   transmission_3.00-1mod1_all.deb                          4bbed629bd22bd76d37365a2da32c59d    
jammy           transmission                transmission                    3.00                   transmission_3.00-1mod1_all.deb                          4bbed629bd22bd76d37365a2da32c59d    

bookworm        transmission                transmission-cli                2.94                   transmission-cli_2.94-1mod1_amd64.deb                    db461e320afcd24830058bbce100d9c5    
bullseye        transmission                transmission-cli                2.94                   transmission-cli_2.94-1mod1_amd64.deb                    0aa1953dbd08b83f66f9411ee06a7296    
jammy           transmission                transmission-cli                2.94                   transmission-cli_2.94-1mod1_amd64.deb                    aa460f4fa8ffb8041d6596830c557c75    
bookworm        transmission                transmission-cli                3.00                   transmission-cli_3.00-1mod1_amd64.deb                    3016b80bd0159c00d3768c6190c0f5bb    
bullseye        transmission                transmission-cli                3.00                   transmission-cli_3.00-1mod1_amd64.deb                    bd36a46eb980d70d1116943a2be4a849    
jammy           transmission                transmission-cli                3.00                   transmission-cli_3.00-1mod1_amd64.deb                    e4ce9caf857e57911ee1fc0fcde7470a    

bookworm        transmission                transmission-common             2.94                   transmission-common_2.94-1mod1_all.deb                   e6cd76fdc1f2c6bd5c052c1381a003d2    
bullseye        transmission                transmission-common             2.94                   transmission-common_2.94-1mod1_all.deb                   e6cd76fdc1f2c6bd5c052c1381a003d2    
jammy           transmission                transmission-common             2.94                   transmission-common_2.94-1mod1_all.deb                   e6cd76fdc1f2c6bd5c052c1381a003d2    
bookworm        transmission                transmission-common             3.00                   transmission-common_3.00-1mod1_all.deb                   c55302048c4a242b97fb456228978a2b    
bullseye        transmission                transmission-common             3.00                   transmission-common_3.00-1mod1_all.deb                   c55302048c4a242b97fb456228978a2b    
jammy           transmission                transmission-common             3.00                   transmission-common_3.00-1mod1_all.deb                   c55302048c4a242b97fb456228978a2b    

bookworm        transmission                transmission-daemon             2.94                   transmission-daemon_2.94-1mod1_amd64.deb                 d502ea24c2fdd0ecc831011f7e09d21f    
bullseye        transmission                transmission-daemon             2.94                   transmission-daemon_2.94-1mod1_amd64.deb                 58f70e200ed89e944fba731e7b1f08b6    
jammy           transmission                transmission-daemon             2.94                   transmission-daemon_2.94-1mod1_amd64.deb                 20a6e094d531a09ec9f1b69df1503cd6    
bookworm        transmission                transmission-daemon             3.00                   transmission-daemon_3.00-1mod1_amd64.deb                 495de08a4f4e9852e5d6c441199ee59b    
bullseye        transmission                transmission-daemon             3.00                   transmission-daemon_3.00-1mod1_amd64.deb                 0b7024db697e4b5b67ef1305abc60045    
jammy           transmission                transmission-daemon             3.00                   transmission-daemon_3.00-1mod1_amd64.deb                 67423a6e7b8604ac301cf87b16d0222f    

bookworm        transmission                transmission-gtk                2.94                   transmission-gtk_2.94-1mod1_amd64.deb                    52dd7936653ab753591c34941bada359    
bullseye        transmission                transmission-gtk                2.94                   transmission-gtk_2.94-1mod1_amd64.deb                    57cdc081e176af6908c6a1761942772e    
jammy           transmission                transmission-gtk                2.94                   transmission-gtk_2.94-1mod1_amd64.deb                    91d4815860401cbbaa8733dadedc6f95    
bookworm        transmission                transmission-gtk                3.00                   transmission-gtk_3.00-1mod1_amd64.deb                    b2055e2216d534406377511e7859c015    
bullseye        transmission                transmission-gtk                3.00                   transmission-gtk_3.00-1mod1_amd64.deb                    9b5970419369654394ae17fad57b32a8    
jammy           transmission                transmission-gtk                3.00                   transmission-gtk_3.00-1mod1_amd64.deb                    56ca3f5b0ae0f07538ef2a734368ce9d    

bookworm        transmission                transmission-qt                 2.94                   transmission-qt_2.94-1mod1_amd64.deb                     51496038fd0a888a053944ea4465fcac    
bullseye        transmission                transmission-qt                 2.94                   transmission-qt_2.94-1mod1_amd64.deb                     7a86870016b707e1bfce6b5326b9ab6f    
jammy           transmission                transmission-qt                 2.94                   transmission-qt_2.94-1mod1_amd64.deb                     053a16518ec6321cc5cb65843999d2f1    
bookworm        transmission                transmission-qt                 3.00                   transmission-qt_3.00-1mod1_amd64.deb                     f95910ad47f9e03889c9a69bcad84285    
bullseye        transmission                transmission-qt                 3.00                   transmission-qt_3.00-1mod1_amd64.deb                     5a1c8a6c7921b0bef3512bb3d87ac295    
jammy           transmission                transmission-qt                 3.00                   transmission-qt_3.00-1mod1_amd64.deb                     a6e6461e309b35aba0ee1715a5e4b6f4    

bookworm        xmlrpc                      xmlrpc-c                        1.64.0                 xmlrpc-c_1.64.0-1build1_amd64.deb                        a62e9d60df2753f7a806e94cf33011a9    
bullseye        xmlrpc                      xmlrpc-c                        1.64.0                 xmlrpc-c_1.64.0-1build1_amd64.deb                        7f4aaa7585fc26b97639c340777432cb    
jammy           xmlrpc                      xmlrpc-c                        1.64.0                 xmlrpc-c_1.64.0-1build1_amd64.deb                        11b9ad96a6b0b0b522aac5367921c75e    
